PLAYER,TEAM,AGE,GP,W ,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Alan Anderson,WAS,33,13,8,14.8,5,1.6,4.5,0.9,2.8,0.8,1.2,0.1,2,1.1,0.2,0.3,0.1,1.9,10.1,0,0,2.3
Bradley Beal,WAS,23,55,28,31.1,17.4,6.5,14.5,1.9,4.9,2.5,3.2,0.7,2.7,2.9,2,1,0.2,2.1,27.4,0,0,-0.4
DeJuan Blair,WAS,27,29,12,7.5,2.1,1,2.3,0,0,0.2,0.4,0.7,1.3,0.4,0.5,0.3,0.1,1.8,5.5,0,0,-1.3
Drew Gooden,WAS,34,30,18,10.2,2.7,1.1,3.4,0.2,1.4,0.3,0.5,0.9,1.9,0.4,0.4,0.3,0.4,1.3,8.3,2,0,-2.8
Garrett Temple,WAS,30,80,40,24.4,7.3,2.5,6.3,1.1,3.2,1.1,1.6,0.5,2.2,1.8,0.8,0.9,0.2,2.4,15.5,0,0,-0.5
Gary Neal,WAS,31,40,18,20.2,9.8,3.8,8.1,1,2.5,1.2,1.4,0.3,1.8,1.2,0.7,0.5,0,1.4,14.9,0,0,-4.1
JJ Hickson,WAS,27,35,17,12.5,5.9,2.3,4.4,0,0,1.3,2.9,1.1,2.7,0.7,0.7,0.4,0.4,1.3,13.2,2,0,-1.7
Jared Dudley,WAS,30,81,40,25.9,7.9,2.9,6,1.2,2.9,0.9,1.2,0.7,2.9,2.1,1,0.9,0.2,2.3,17.7,0,0,0.7
Jarell Eddie,WAS,24,26,13,5.6,2.4,0.8,2.5,0.6,1.8,0.3,0.3,0.1,0.8,0.2,0,0.2,0,0.2,4.4,0,0,-1.3
John Wall,WAS,25,77,37,36.2,19.9,7.4,17.5,1.5,4.3,3.5,4.5,0.5,4.4,10.2,4.1,1.9,0.8,2.1,45,49,4,1.3
Kelly Oubre Jr.,WAS,20,63,31,10.7,3.7,1.4,3.3,0.4,1.3,0.5,0.8,0.4,1.7,0.2,0.5,0.3,0.1,1.6,7.4,0,0,-0.7
Marcin Gortat,WAS,32,75,35,30.1,13.5,5.8,10.2,0,0,1.9,2.8,3,6.9,1.4,1.6,0.6,1.3,2.6,31.6,41,0,0.8
Marcus Thornton,WAS,29,61,32,18.2,9.7,3.5,8.9,1.5,4.4,1.1,1.3,0.6,1.8,1.4,0.8,0.8,0.1,1.5,16.4,0,0,0.7
Markieff Morris,WAS,26,64,22,25.5,12,4.8,11.2,0.7,2.4,1.7,2.3,1.1,4.4,1.9,2.1,0.9,0.5,2.9,23.7,2,0,-1.4
Nene,WAS,33,57,28,19.2,9.2,3.7,6.7,0,0.1,1.9,3.2,0.9,3.6,1.7,1.3,0.9,0.5,2.7,20.1,1,0,0.5
Otto Porter Jr.,WAS,23,75,36,11.6,11.6,4.5,9.6,1.3,3.6,1.3,1.7,1.3,3.9,1.6,0.9,1.4,0.4,2.2,24.8,5,0,0.6
Ramon Sessions,WAS,30,82,41,9.9,9.9,3.4,7.2,0.4,1.4,2.6,3.5,0.3,2.2,2.9,1.4,0.6,0.1,1.2,17.7,3,0,0.7
Alec Burks,UTA,24,31,13,25.7,13.3,4.4,10.8,1,2.5,3.4,4.5,0.5,3,2,1.6,0.6,0.1,2.3,21,0,0,-0.4
Chris Johnson,UTA,26,70,38,12.2,2.9,1,2.8,0.4,1.4,0.5,0.6,0.4,1.5,0.6,0.6,0.5,0.3,1.4,7.8,0,0,0
Derrick Favors,UTA,24,62,30,32,16.4,6.7,13.1,0,0.1,2.9,4.1,2.7,5.4,1.5,1.7,1.2,1.5,2.4,34.7,19,0,1.6
Elijah Millsap,UTA,28,20,9,8.6,1.8,0.6,2,0.1,0.6,0.7,0.9,0.3,1.5,1,0.5,0.4,0.2,1.7,6.4,0,0,1.1
Gordon Hayward,UTA,26,80,38,36.2,19.7,6.5,15,1.8,5.1,4.9,6,0.8,4.2,3.7,2.5,1.2,0.3,2.3,33.3,4,0,1.2
